Input args:
Dim: 2
seed: 36
seed_data: 10
/home/samwiq/spa/seq-posterior-approx-w-nf-dev/mv_gaussian/low_dim_w_five_obs/lunarc
/home/samwiq/spa/seq-posterior-approx-w-nf-dev
Nbr trainable parameters: 17776
start training
Epoch: 0, loss: 0.8020249149482698, eval loss: 7.0272369384765625
Epoch: 1, loss: 0.49493791060755027, eval loss: 0.49447396397590637
Epoch: 2, loss: 0.4602803671406582, eval loss: 0.4226595461368561
Epoch: 3, loss: 0.44579328565159815, eval loss: 0.4278699457645416
Epoch: 4, loss: 0.4287480145858717, eval loss: 0.3893088698387146
Epoch: 5, loss: 0.42442779637058264, eval loss: 0.4341279864311218
Epoch: 6, loss: 0.41438282865274234, eval loss: 0.38112467527389526
Epoch: 7, loss: 0.41117984379758127, eval loss: 0.38962221145629883
Epoch: 8, loss: 0.40059918890332485, eval loss: 0.3949362635612488
Epoch: 9, loss: 0.4010294017182605, eval loss: 0.39637041091918945
Epoch: 10, loss: 0.3969843331980519, eval loss: 0.3669329881668091
Epoch: 11, loss: 0.39707532631254255, eval loss: 0.36997735500335693
Epoch: 12, loss: 0.39629623411310605, eval loss: 0.3747856020927429
Epoch: 13, loss: 0.39359932605017095, eval loss: 0.41388481855392456
Epoch: 14, loss: 0.390372402734356, eval loss: 0.39200592041015625
Epoch: 15, loss: 0.3910869939532131, eval loss: 0.37434956431388855
Epoch: 16, loss: 0.38843261593487116, eval loss: 0.37271738052368164
Epoch: 17, loss: 0.3888364007643395, eval loss: 0.40193459391593933
Epoch: 18, loss: 0.3854748001357075, eval loss: 0.3777000606060028
Epoch: 19, loss: 0.386786403565784, eval loss: 0.3605046570301056
Epoch: 20, loss: 0.38546285094693306, eval loss: 0.36964648962020874
Epoch: 21, loss: 0.3851354110671673, eval loss: 0.381714403629303
Epoch: 22, loss: 0.38468641217565164, eval loss: 0.3666105568408966
Epoch: 23, loss: 0.3821921233535977, eval loss: 0.4346660375595093
Epoch: 24, loss: 0.383682552761893, eval loss: 0.36111846566200256
Epoch: 25, loss: 0.38126436158549043, eval loss: 0.3894706070423126
Epoch: 26, loss: 0.38154866952099836, eval loss: 0.3681504428386688
Epoch: 27, loss: 0.38320148151622563, eval loss: 0.39675068855285645
Epoch: 28, loss: 0.3813459809937922, eval loss: 0.3709973096847534
Epoch: 29, loss: 0.38190532774635355, eval loss: 0.3790777325630188
Epoch: 30, loss: 0.37826331271702657, eval loss: 0.3748410940170288
Epoch: 31, loss: 0.38176677908340934, eval loss: 0.3784628212451935
Epoch: 32, loss: 0.38097961406077957, eval loss: 0.3862623870372772
Epoch: 33, loss: 0.38126978208340007, eval loss: 0.37736913561820984
Epoch: 34, loss: 0.37978701389860364, eval loss: 0.38352951407432556
Epoch: 35, loss: 0.38141500959172847, eval loss: 0.3646285831928253
Epoch: 36, loss: 0.3801556008012267, eval loss: 0.39132159948349
Epoch: 37, loss: 0.3822264555498259, eval loss: 0.3536372482776642
Epoch: 38, loss: 0.3829844305632287, eval loss: 0.36954784393310547
Epoch: 39, loss: 0.3808909763355041, eval loss: 0.4001328647136688
Epoch: 40, loss: 0.38038462940836326, eval loss: 0.3666902780532837
Epoch: 41, loss: 0.3807144388893357, eval loss: 0.37796562910079956
Epoch: 42, loss: 0.38257430128505804, eval loss: 0.3684687912464142
Epoch: 43, loss: 0.3815930867721545, eval loss: 0.36101993918418884
Epoch: 44, loss: 0.3837038729989945, eval loss: 0.3817516267299652
Epoch: 45, loss: 0.3830969851737609, eval loss: 0.36442995071411133
Epoch: 46, loss: 0.38192986677946467, eval loss: 0.36237066984176636
Epoch: 47, loss: 0.38155066388251724, eval loss: 0.3763755261898041
Epoch: 48, loss: 0.3841073232481722, eval loss: 0.38775527477264404
Epoch: 49, loss: 0.38420341369768723, eval loss: 0.3607059121131897

Runtime:596.75
KL div untrained: 1742910381336.9614
KL div trained: 0.0134
