Input args:
Dim: 2
seed: 47
seed_data: 10
/home/samwiq/snpla/seq-posterior-approx-w-nf-dev/mv_gaussian/low_dim_w_five_obs/lunarc
/home/samwiq/snpla/seq-posterior-approx-w-nf-dev
Nbr trainable parameters: 17776
start training
Epoch: 0, loss: 0.7864812246523798, eval loss: 7.01658296585083
Epoch: 1, loss: 0.4958644381305203, eval loss: 0.49069175124168396
Epoch: 2, loss: 0.4555852150323335, eval loss: 0.48914340138435364
Epoch: 3, loss: 0.4424858271959238, eval loss: 0.5152363181114197
Epoch: 4, loss: 0.4286735481885262, eval loss: 0.5089670419692993
Epoch: 5, loss: 0.41687913243687946, eval loss: 0.42649853229522705
Epoch: 6, loss: 0.41119467496697326, eval loss: 0.4435555934906006
Epoch: 7, loss: 0.4081791746430099, eval loss: 0.42377638816833496
Epoch: 8, loss: 0.4034044301335234, eval loss: 0.437950998544693
Epoch: 9, loss: 0.40191821221786084, eval loss: 0.47043371200561523
Epoch: 10, loss: 0.3980945739953313, eval loss: 0.396745502948761
Epoch: 11, loss: 0.3941392508897843, eval loss: 0.39970117807388306
Epoch: 12, loss: 0.39264498291238853, eval loss: 0.392060786485672
Epoch: 13, loss: 0.38882682140232644, eval loss: 0.4158838093280792
Epoch: 14, loss: 0.38658871582843857, eval loss: 0.3808053731918335
Epoch: 15, loss: 0.3894271642444801, eval loss: 0.4148469567298889
Epoch: 16, loss: 0.3845555044194134, eval loss: 0.39267298579216003
Epoch: 17, loss: 0.38749774258816616, eval loss: 0.4077341556549072
Epoch: 18, loss: 0.385034120233322, eval loss: 0.39269864559173584
Epoch: 19, loss: 0.3825542289322766, eval loss: 0.3911084532737732
Epoch: 20, loss: 0.3847877747929306, eval loss: 0.38317033648490906
Epoch: 21, loss: 0.38401823972701093, eval loss: 0.41399431228637695
Epoch: 22, loss: 0.38167317320592703, eval loss: 0.3833158016204834
Epoch: 23, loss: 0.38123979716452594, eval loss: 0.38958147168159485
Epoch: 24, loss: 0.3826644337299513, eval loss: 0.3868981599807739
Epoch: 25, loss: 0.381065964999143, eval loss: 0.38328778743743896
Epoch: 26, loss: 0.3798950016964227, eval loss: 0.38450703024864197
Epoch: 27, loss: 0.38000914752250536, eval loss: 0.3954949676990509
Epoch: 28, loss: 0.3828083839922328, eval loss: 0.42992928624153137
Epoch: 29, loss: 0.3815551866304304, eval loss: 0.3833610713481903
Epoch: 30, loss: 0.3803786548826611, eval loss: 0.3790687620639801
Epoch: 31, loss: 0.3820682355928875, eval loss: 0.37734225392341614
Epoch: 32, loss: 0.3807649583517923, eval loss: 0.4276351034641266
Epoch: 33, loss: 0.3818715184928442, eval loss: 0.36985939741134644
Epoch: 34, loss: 0.3803000899020844, eval loss: 0.4005074203014374
Epoch: 35, loss: 0.37948066931945507, eval loss: 0.4037571847438812
Epoch: 36, loss: 0.3805211863699697, eval loss: 0.3894060254096985
Epoch: 37, loss: 0.3805566255399026, eval loss: 0.37526577711105347
Epoch: 38, loss: 0.3808943406797789, eval loss: 0.3860538899898529
Epoch: 39, loss: 0.3815888619198995, eval loss: 0.4174301326274872
Epoch: 40, loss: 0.3814842101153044, eval loss: 0.3814859986305237
Epoch: 41, loss: 0.379440785015031, eval loss: 0.38902074098587036
Epoch: 42, loss: 0.38058484769557255, eval loss: 0.37965407967567444
Epoch: 43, loss: 0.38021221012371825, eval loss: 0.42974725365638733
Epoch: 44, loss: 0.3818108032613236, eval loss: 0.38396215438842773
Epoch: 45, loss: 0.38258052507793766, eval loss: 0.3897092640399933
Epoch: 46, loss: 0.3807691191055346, eval loss: 0.3944251239299774
Epoch: 47, loss: 0.3818125143746147, eval loss: 0.3878328800201416
Epoch: 48, loss: 0.3810586010532279, eval loss: 0.38711491227149963
Epoch: 49, loss: 0.3846131966786925, eval loss: 0.39176201820373535

Runtime:623.82
KL div untrained: 85108392141479.73
KL div trained: 0.005
